          l       bbbblbbbbbbbb
          l       sssslssssssss
          l       sssslssssssss
          l       sssslssssssss
          l       sssssssssssss
          l        ssssssssssss
          l         sssssssssss
          l          ssssssssss
          l           sssssssss
          l            ssssssss
          lb            sssssss
          lbb            ssssss
          lbbb            sssss
          lbbbb            ssss
          lbbbbb            sss
          lbbbbbb            ss
          lbbbbbbb            s
          llbbbblb            b
          llllllll            b
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb


